Date,0,1,2,3
1999-04-11,449,27907,14176,4449
1999-10-19,450,28485,22442,6818
2000-01-23,451,3355,2047,1490
2000-06-26,452,9400,10737,19744
2000-09-23,453,20914,10325,14278
2001-01-14,454,9397,26907,5379
2001-06-19,455,3612,3289,21367
2002-02-04,456,27317,16890,27988
2002-07-31,457,9901,16697,29593
2002-10-18,458,25622,11124,18728
2003-02-14,459,5239,25282,12231
2003-07-05,460,22746,3715,4549
2003-10-21,461,21111,2543,4055
2003-11-28,462,13481,11655,1275
2005-12-22,463,18784,19113,1477
2007-11-01,464,27024,9149,30066
2008-05-06,465,25660,7382,6638
2008-05-28,466,16999,26961,9667
2008-06-18,467,5573,19108,28161
2009-04-29,468,25326,20677,12717
2010-01-17,469,18349,26858,7919
2010-01-20,470,2700,17752,5034
2010-04-26,471,26479,2596,11711
2010-11-14,472,19470,5470,10440
2011-01-30,473,11755,15095,22072
2011-12-26,474,24017,3478,7702
2012-02-10,475,10473,14081,2571
2013-06-29,476,15097,20181,1080
2013-07-23,477,21331,20375,21383
2015-01-22,478,13164,7847,2868
2015-08-31,479,16485,11862,26484
2015-11-29,480,24257,8978,23546
2016-01-11,481,23472,18657,16108
2017-02-19,482,8214,21959,11124
2017-03-31,483,8967,24715,27839
2017-05-29,484,3519,26787,15218
2017-10-30,485,17201,7643,12817
2018-02-22,486,9312,29363,1097
2019-02-22,487,2671,12412,18465
2021-06-19,488,339,24326,46
2021-10-13,489,7122,8872,20506
2021-12-17,490,26621,14503,14553
2022-07-03,491,4758,10366,2430
2022-08-25,492,3134,4650,21241
2023-04-01,493,24963,12320,20826
2023-08-16,494,29449,60,14420
1941-06-16,495,27813,9779,5272
1942-04-08,496,7324,10606,20970
1942-06-19,497,17301,11811,20538
1942-08-28,498,1058,9050,19290
1942-11-08,499,25764,8370,22200
1942-11-24,500,6577,29017,18262
1943-03-27,501,24889,9979,16599
1943-04-22,502,21260,7693,23514
1943-09-10,503,24282,10108,20484
1944-03-02,504,2364,6385,10344
1944-04-17,505,8101,25956,19600
1944-08-03,506,22830,6619,6958
1944-08-24,507,17314,21858,13745
1945-01-30,508,15943,11945,5378
1945-09-12,509,13547,4443,29189
1947-01-31,510,26865,16871,16747
1947-03-01,511,7292,17170,28396
1947-04-06,512,12682,20348,26497
1948-01-13,513,816,8324,22537
1950-05-23,514,19881,6676,905
1950-07-21,515,13333,6491,16380
1950-07-22,516,22424,20636,9321
1950-07-25,517,5100,22276,3495
1951-01-26,518,10853,10014,7874
1951-06-01,519,14321,1184,13241
1951-06-24,520,27746,11597,6412
1951-07-16,521,8565,25866,23362
1952-06-04,522,16969,14605,23040
1953-09-11,523,29571,26190,10998
1954-03-17,524,15090,6333,5489
1954-05-26,525,5136,24558,2566
1954-06-09,526,2656,3740,1688
1954-09-30,527,25951,12151,23709
1954-10-27,528,11169,23786,19411
1954-12-16,529,16189,17791,29172
1956-06-14,530,3262,26760,3653
1957-03-15,531,4490,17934,9006
1957-06-10,532,5509,8731,361
1957-09-11,533,24543,18435,26175
1958-08-13,534,19707,20181,14297
